COLLEGIOUNINOMINALE;CODICE_REGIONE;LISTA;VOTI_LISTA;VOTANTI;VOTI_PERC
Trentino-Alto Adige/Südtirol - U04;4;ITALEX;1717.059475201762;82745.99506795406;0.020750967751268803
Trentino-Alto Adige/Südtirol - U05;4;ITALEX;1424.61771516102;59498.99645358324;0.02394355871653066
Trentino-Alto Adige/Südtirol - U06;4;ITALEX;1394.2817917167442;73674.0;0.018925018211536557
Veneto - U01;5;ITALEX;10083.294748781329;269099.3828214382;0.037470523503475045
Veneto - U02;5;ITALEX;7936.920107767287;305628.9473797679;0.025969137334053122
Veneto - U03;5;ITALEX;9642.570979837727;328526.3079433441;0.02935098574054116
Veneto - U04;5;ITALEX;11428.573202050991;307569.2965750694;0.03715771804700143
Veneto - U05;5;ITALEX;6014.96304728228;233000.03237456083;0.025815288461474906
Friuli-Venezia Giulia - U01;6;ITALEX;7635.5720945619905;326791.5909515619;0.023365264914952354
Liguria - U01;7;ITALEX;6340.049917819893;259929.9117666781;0.02439138256435426
Liguria - U02;7;ITALEX;8267.40090737077;275647.6439447701;0.02999264129036873
Emilia-Romagna - U01;8;ITALEX;6640.348657877435;244450.76805799454;0.027164359967574533
Emilia-Romagna - U02;8;ITALEX;5189.137074321311;263189.1880475879;0.01971637631779559
Emilia-Romagna - U03;8;ITALEX;9402.236778709974;330507.8663889915;0.028447845678940677
Emilia-Romagna - U04;8;ITALEX;7855.353136093086;304800.97532220185;0.025772073490871465
Emilia-Romagna - U05;8;ITALEX;7795.249049538419;294932.2866081353;0.02643063985699081
Toscana - U01;9;ITALEX;6495.456298939034;282921.3234894583;0.0229585250727171
Toscana - U02;9;ITALEX;6014.355995875327;278415.62731820345;0.021602077634103028
Toscana - U03;9;ITALEX;6712.8280197009735;279701.10023709945;0.02400000577048351
Toscana - U04;9;ITALEX;5666.264030719474;281462.0382459685;0.02013153910925547
Umbria - U01;10;ITALEX;6351.67378456174;226668.74754288793;0.028021832976158047
Marche - U01;11;ITALEX;6172.32818529832;267559.98650819063;0.023068950876589205
Marche - U02;11;ITALEX;6542.691283459138;258205.0538301207;0.02533912944927767
Lazio - U01;12;ITALEX;7674.916527712115;277045.6394928852;0.027702715486735585
Lazio - U02;12;ITALEX;6260.49739584242;282989.0165227194;0.022122757528788416
Lazio - U03;12;ITALEX;5421.04565639707;269978.09016599134;0.020079576283631145
Lazio - U04;12;ITALEX;4165.989511932637;288765.1309056971;0.014426913314866731
Lazio - U05;12;ITALEX;7465.124438516292;272129.6387881413;0.027432235870228194
Lazio - U06;12;ITALEX;6652.332478921651;263396.61430072784;0.02525595287768765
Abruzzo - U01;13;ITALEX;10849.81656886668;326782.35374599695;0.033201965909395705
Molise - U01;14;ITALEX;4836.7830097336155;149550.0;0.03234224680530669
Campania - U01;15;ITALEX;5063.9801075579235;254987.3588103056;0.01985973003204917
Campania - U02;15;ITALEX;5448.2012225739345;237570.71353250742;0.022932966532629634
Campania - U03;15;ITALEX;6568.886319156317;234154.760910701;0.028053609901450928
Campania - U04;15;ITALEX;4889.48440744043;191402.93359225988;0.025545504009130585
Campania - U05;15;ITALEX;6275.578773820697;254727.94505777955;0.024636396970097715
Campania - U06;15;ITALEX;5951.831982011805;239903.60182176347;0.02480926479142119
Campania - U07;15;ITALEX;10129.2815036323;224599.40623291582;0.04509932449744749
Puglia - U01;16;ITALEX;4197.780046306703;202591.9978326559;0.020720364531742926
Puglia - U02;16;ITALEX;6407.861341855847;236896.74676036835;0.02704917407894033
Puglia - U03;16;ITALEX;8030.202227882276;245213.39931461215;0.032747811703305076
Puglia - U04;16;ITALEX;8452.670761972948;242377.92115074396;0.034873930438226314
Puglia - U05;16;ITALEX;6425.362280417739;254685.83316797018;0.025228581427142398
Basilicata - U01;17;ITALEX;9062.940677472123;276215.0;0.032811182149673705
Calabria - U01;18;ITALEX;4484.587537613214;202176.98605054617;0.022181493676496022
Calabria - U02;18;ITALEX;6616.950175962157;205483.29352986813;0.032201888836283166
Sicilia - U01;19;ITALEX;5088.970915035909;232841.1329860687;0.021855979009260323
Sicilia - U02;19;ITALEX;6791.994683072824;239444.15840884298;0.028365672932708252
Sicilia - U03;19;ITALEX;2263.6941149056465;213472.043840006;0.010604171273135185
Sicilia - U04;19;ITALEX;6047.853942422586;247416.922534734;0.024443978530100538
Sicilia - U05;19;ITALEX;5605.708957169048;274350.733809188;0.02043263700933944
Sicilia - U06;19;ITALEX;4624.58395523952;219474.65565258265;0.02107115257335227
Sardegna - U01;20;ITALEX;9683.709674678079;268314.06698548794;0.03609095036825569
Sardegna - U02;20;ITALEX;6818.544399599396;239644.55647927523;0.028452740591205842
Piemonte - U01;1;IPF;11218.075642718612;296463.66365813976;0.03783963101681991
Piemonte - U02;1;IPF;3486.0315704306113;284903.5752418574;0.012235829499406195
Piemonte - U03;1;IPF;1983.3219663254617;256385.53065121174;0.007735701625937634
Piemonte - U04;1;IPF;2469.1940322269165;254088.0948550552;0.009717865898579273
Piemonte - U05;1;IPF;3791.8010858424627;283925.23061427474;0.013354928259242293
Valle d'aosta/Vallée d'Aoste - U01;2;IPF;580.7538653031966;61938.0;0.009376374201672585
Lombardia - U01;3;IPF;2823.7552484289254;298723.4623938352;0.00945274008877851
Lombardia - U02;3;IPF;3476.634144439109;250741.36705390736;0.013865419118065433
Lombardia - U03;3;IPF;2103.0524654193337;263094.2421939671;0.00799353284162278
Lombardia - U04;3;IPF;2692.888458012944;288145.1839722791;0.009345595928030546
Lombardia - U05;3;IPF;3430.330261585881;299906.14369349927;0.011438012637352439
Lombardia - U06;3;IPF;2598.988160818081;300600.95131127536;0.008645974503676145
Lombardia - U07;3;IPF;3135.647676843957;313084.5897071101;0.01001533700453717
Lombardia - U08;3;IPF;3346.0939722827375;279591.9773825258;0.011967775340365918
Lombardia - U09;3;IPF;2432.8181408561213;268964.2204530053;0.009045136697954198
Lombardia - U10;3;IPF;2584.1810456451285;274274.2146000862;0.009421888417083142
Lombardia - U11;3;IPF;2045.9360641499597;270597.8844897002;0.007560798444556334
Trentino-Alto Adige/Südtirol - U01;4;IPF;1117.9211131551351;116335.0;0.009609499403920876
Trentino-Alto Adige/Südtirol - U02;4;IPF;873.5792288538541;91603.0;0.009536578811325547
Trentino-Alto Adige/Südtirol - U03;4;IPF;622.6692963389137;62210.0;0.01000915120300456
Trentino-Alto Adige/Südtirol - U04;4;IPF;839.9461240349348;82745.99506795406;0.010150897615590217
Trentino-Alto Adige/Südtirol - U05;4;IPF;571.0519709403752;59498.99645358324;0.009597673994146575
Trentino-Alto Adige/Südtirol - U06;4;IPF;763.9308189932838;73674.0;0.010369069400240027
Veneto - U01;5;IPF;2713.652253594621;269099.3828214382;0.010084200956325768
Veneto - U02;5;IPF;3207.973837572023;305628.9473797679;0.01049630234660287
Veneto - U03;5;IPF;2965.171464394144;328526.3079433441;0.009025674330183328
Veneto - U04;5;IPF;2285.287081578066;307569.2965750694;0.0074301534874443775
Veneto - U05;5;IPF;1979.4439403399663;233000.03237456083;0.008495466374690872
Friuli-Venezia Giulia - U01;6;IPF;2548.0174947102482;326791.5909515619;0.007797071789059356
Liguria - U01;7;IPF;1992.9522441632323;259929.9117666781;0.007667267805454317
Liguria - U02;7;IPF;2358.5108020718876;275647.6439447701;0.008556252352893133
Emilia-Romagna - U01;8;IPF;2654.9560650866383;244450.76805799454;0.010860902938364937
Emilia-Romagna - U02;8;IPF;2557.2614542247343;263189.1880475879;0.009716438099890144
Emilia-Romagna - U03;8;IPF;2428.837067136828;330507.8663889915;0.0073488025978728335
Emilia-Romagna - U04;8;IPF;2495.1626038268196;304800.97532220185;0.008186202820345998
Emilia-Romagna - U05;8;IPF;2613.0893432462503;294932.2866081353;0.00885996366589107
Toscana - U01;9;IPF;2523.15452488156;282921.3234894583;0.008918219714801995
Toscana - U02;9;IPF;2832.253411342037;278415.62731820345;0.010172753011830876
Toscana - U03;9;IPF;1958.7261521939063;279701.10023709945;0.007002926161296885
Toscana - U04;9;IPF;3353.8560303507847;281462.0382459685;0.011915837927031082
Umbria - U01;10;IPF;1733.7944712040126;226668.74754288793;0.007649023034708223
Marche - U01;11;IPF;1952.052551599908;267559.98650819063;0.007295756652836246
Marche - U02;11;IPF;1923.467969534573;258205.0538301207;0.007449381570974473
Lazio - U01;12;IPF;2082.3658717788567;277045.6394928852;0.007516327907526347
Lazio - U02;12;IPF;2597.925634922723;282989.0165227194;0.009180305535689057
Lazio - U03;12;IPF;2578.98457212725;269978.09016599134;0.009552569879065394
Lazio - U04;12;IPF;2450.463445115244;288765.1309056971;0.008486008810791977
Lazio - U05;12;IPF;2070.6662809569775;272129.6387881413;0.007609117074414063
Lazio - U06;12;IPF;3621.6165348381933;263396.61430072784;0.013749670034495147
Abruzzo - U01;13;IPF;3959.899120008524;326782.35374599695;0.012117848698422971
Molise - U01;14;IPF;586.8220065735223;149550.0;0.003923918465887812
Campania - U01;15;IPF;2092.920246429966;254987.3588103056;0.00820793727263541
Campania - U02;15;IPF;2156.0832206983546;237570.71353250742;0.009075542976821224
Campania - U03;15;IPF;2134.6340213519834;234154.760910701;0.009116338327052265
Campania - U04;15;IPF;1922.7107974954058;191402.93359225988;0.010045356993280474
Campania - U05;15;IPF;2784.3687590818495;254727.94505777955;0.010930755000007068
Campania - U06;15;IPF;2239.6122834902594;239903.60182176347;0.009335467523135316
Campania - U07;15;IPF;2364.292629023702;224599.40623291582;0.010526709169354904
Puglia - U01;16;IPF;2103.0726809673056;202591.9978326559;0.010380827986624012
Puglia - U02;16;IPF;1819.0334832595083;236896.74676036835;0.00767859207918774
Puglia - U03;16;IPF;2977.208955932879;245213.39931461215;0.012141298005143181
Puglia - U04;16;IPF;2370.5219136893884;242377.92115074396;0.009780271661852696
Puglia - U05;16;IPF;2134.793760331485;254685.83316797018;0.008382067167919574
Basilicata - U01;17;IPF;3065.5274827885187;276215.0;0.011098338188688227
Calabria - U01;18;IPF;1725.849032234283;202176.98605054617;0.008536327828147583
Calabria - U02;18;IPF;1824.8665277297791;205483.29352986813;0.008880851072520525
Sicilia - U01;19;IPF;1883.0992476012214;232841.1329860687;0.008087485331528131
Sicilia - U02;19;IPF;2520.992720844019;239444.15840884298;0.010528520460037731
Sicilia - U03;19;IPF;3562.495186910567;213472.043840006;0.01668834533472028
Sicilia - U04;19;IPF;3192.813409020199;247416.922534734;0.012904587836234082
Sicilia - U05;19;IPF;2757.7115884023115;274350.733809188;0.010051774056198845
Sicilia - U06;19;IPF;1171.6584788687082;219474.65565258265;0.005338468240831346
Sardegna - U01;20;IPF;3296.480283692322;268314.06698548794;0.012285901819193906
Sardegna - U02;20;IPF;2456.5926678179226;239644.55647927523;0.010250984641207037
Piemonte - U01;1;ALTRI;8448.419279157612;296463.66365813976;0.028497317934044395
Piemonte - U02;1;ALTRI;6590.872278488658;284903.5752418574;0.023133694524168757
Piemonte - U03;1;ALTRI;6909.5316412756165;256385.53065121174;0.0269497721799105
Piemonte - U04;1;ALTRI;5028.359967261514;254088.0948550552;0.0197898290753447
Piemonte - U05;1;ALTRI;7365.86268982211;283925.23061427474;0.025942966300972974
Valle d'aosta/Vallée d'Aoste - U01;2;ALTRI;1901.0152739781581;61938.0;0.030692228905973038
Lombardia - U01;3;ALTRI;6158.886068325531;298723.4623938352;0.020617349634913153
Lombardia - U02;3;ALTRI;6643.905041639576;250741.36705390736;0.026497044024694934
Lombardia - U03;3;ALTRI;5538.524228869442;263094.2421939671;0.021051483995556796
Lombardia - U04;3;ALTRI;8573.16548203243;288145.1839722791;0.029752936918276615
Lombardia - U05;3;ALTRI;4524.436757002537;299906.14369349927;0.015086175632422058
Lombardia - U06;3;ALTRI;8622.978318245596;300600.95131127536;0.028685798500073318
Lombardia - U07;3;ALTRI;11815.871172014964;313084.5897071101;0.03774018766962847
Lombardia - U08;3;ALTRI;7131.269685856509;279591.9773825258;0.0255059882354915
Lombardia - U09;3;ALTRI;5783.507101224654;268964.2204530053;0.021502886486104857
