COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Sicilia 1 - U01;Sicilia 1;AZIONE-IV;2927.9022797719454;100567.70392146707
Sicilia 1 - U02;Sicilia 1;AZIONE-IV;1917.9161207429763;143283.84437191486
Sicilia 1 - U03;Sicilia 1;AZIONE-IV;2193.3909408780946;131974.823687315
Sicilia 1 - U04;Sicilia 1;AZIONE-IV;1484.5843108629615;113307.3988626767
Sicilia 1 - U05;Sicilia 1;AZIONE-IV;1242.3322611702056;124669.47102713585
Sicilia 1 - U06;Sicilia 1;AZIONE-IV;1725.945702555361;140046.88969907165
Sicilia 2 - U01;Sicilia 2;AZIONE-IV;1842.9776116400067;124848.07153502107
Sicilia 2 - U02;Sicilia 2;AZIONE-IV;2810.595698160834;134480.91639989614
Sicilia 2 - U03;Sicilia 2;AZIONE-IV;1951.07618414519;138201.1140266955
Sicilia 2 - U04;Sicilia 2;AZIONE-IV;1275.924115683737;100643.31165596843
Sicilia 2 - U05;Sicilia 2;AZIONE-IV;2145.394039906788;116477.67625188828
Sicilia 2 - U06;Sicilia 2;AZIONE-IV;2604.4759869177537;144798.08882173896
Sardegna - U01;Sardegna;AZIONE-IV;7030.831270698092;161458.33297353983
Sardegna - U02;Sardegna;AZIONE-IV;4284.997578911488;148729.19014931098
Sardegna - U03;Sardegna;AZIONE-IV;3450.8596280946467;121324.0268291384
Sardegna - U04;Sardegna;AZIONE-IV;3425.6696314588316;127508.71752074361
Piemonte 1 - U01;Piemonte 1;FDI;27761.55566667496;113802.13112157024
Piemonte 1 - U02;Piemonte 1;FDI;21895.923796514166;105371.58089447208
Piemonte 1 - U03;Piemonte 1;FDI;33301.86452281621;165526.65388635165
Piemonte 1 - U04;Piemonte 1;FDI;33720.59277340953;149198.9660488218
Piemonte 1 - U05;Piemonte 1;FDI;32584.146776541274;153291.07992081717
Piemonte 2 - U01;Piemonte 2;FDI;31960.43837144723;135859.3112794757
Piemonte 2 - U02;Piemonte 2;FDI;37468.81281948507;142113.06346663833
Piemonte 2 - U03;Piemonte 2;FDI;37977.331404320015;128280.5985716423
Piemonte 2 - U04;Piemonte 2;FDI;36707.17807421691;140802.9118091464
Piemonte 2 - U05;Piemonte 2;FDI;44514.996508757846;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;FDI;20378.706275555072;66370.0
Lombardia 1 - U01;Lombardia 1;FDI;34482.58574334458;155342.18295099214
Lombardia 1 - U02;Lombardia 1;FDI;37476.924613368;166330.60099975206
Lombardia 1 - U03;Lombardia 1;FDI;37303.41723187602;161392.83924120665
Lombardia 1 - U04;Lombardia 1;FDI;39159.74329677567;162454.4642060995
Lombardia 1 - U05;Lombardia 1;FDI;38710.9420092941;162263.28040081263
Lombardia 1 - U06;Lombardia 1;FDI;29777.428625083452;145273.73823688924
Lombardia 1 - U07;Lombardia 1;FDI;27807.150573432886;116214.26745604724
Lombardia 1 - U08;Lombardia 1;FDI;29162.1889029014;118016.15918585658
Lombardia 1 - U09;Lombardia 1;FDI;33134.43622289304;119594.91208931943
Lombardia 2 - U01;Lombardia 2;FDI;34620.1811819174;151474.4790506959
Lombardia 2 - U02;Lombardia 2;FDI;39800.88305781273;174974.32298791409
Lombardia 2 - U03;Lombardia 2;FDI;41152.84712301108;157354.16139608622
Lombardia 2 - U04;Lombardia 2;FDI;30263.71509403295;133922.43349497765
Lombardia 2 - U05;Lombardia 2;FDI;28614.79900640651;129181.15250968933
Lombardia 3 - U01;Lombardia 3;FDI;36501.36413372113;151186.97870968655
Lombardia 3 - U02;Lombardia 3;FDI;42145.79442822731;176926.93462750036
Lombardia 3 - U03;Lombardia 3;FDI;42807.8441779574;156350.3343309611
Lombardia 3 - U04;Lombardia 3;FDI;39512.30025354023;149379.0475662127
Lombardia 3 - U05;Lombardia 3;FDI;39959.58699144151;147577.86525928974
Lombardia 4 - U01;Lombardia 4;FDI;34477.26314225819;142901.90666890144
Lombardia 4 - U02;Lombardia 4;FDI;38185.76906015132;161276.5622330904
Lombardia 4 - U03;Lombardia 4;FDI;35337.13865946094;147015.1864758432
Lombardia 4 - U04;Lombardia 4;FDI;32549.881008422162;141194.9422620237
Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol;FDI;21605.926458234328;104570.47535815835
Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol;FDI;18218.60540064017;90116.22547957301
Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol;FDI;9171.984318813033;74605.34712642431
Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol;FDI;5002.948387021241;73360.85453355312
Veneto 1 - U01;Veneto 1;FDI;32793.64419975089;145419.14242082834
Veneto 1 - U02;Veneto 1;FDI;28927.203049675063;144522.44762330689
Veneto 1 - U03;Veneto 1;FDI;31648.564218220476;145043.18329924345
Veneto 1 - U04;Veneto 1;FDI;23580.236189952524;116333.22060774267
Veneto 1 - U05;Veneto 1;FDI;37783.34477770543;114457.11759376526
Veneto 2 - U01;Veneto 2;FDI;37570.775775213675;151384.72868398073
Veneto 2 - U02;Veneto 2;FDI;42210.11153744203;185420.16187389195
Veneto 2 - U03;Veneto 2;FDI;47057.356810699406;182345.41396042705
Veneto 2 - U04;Veneto 2;FDI;47581.67952064241;172862.6856917739
Veneto 2 - U05;Veneto 2;FDI;45974.036166464124;154069.73023663834
Veneto 2 - U06;Veneto 2;FDI;35161.789790006995;125778.40077978373
Veneto 2 - U07;Veneto 2;FDI;32950.94124591961;121109.24212008715
Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia;FDI;44204.388203741895;134944.3755803192
Friuli-Venezia Giulia - U02;Friuli-Venezia Giulia;FDI;38824.31158921223;129862.58529174328
Friuli-Venezia Giulia - U03;Friuli-Venezia Giulia;FDI;29256.558396007815;107987.75032508373
Liguria - U01;Liguria;FDI;35854.02620555186;140206.25134152174
Liguria - U02;Liguria;FDI;29574.063413232794;139913.20601949096
Liguria - U03;Liguria;FDI;38747.24255120888;149881.56551187485
Liguria - U04;Liguria;FDI;35461.16850705465;145910.85632365942
Emilia-Romagna - U01;Emilia-Romagna;FDI;46285.93843789221;140927.6889091581
Emilia-Romagna - U02;Emilia-Romagna;FDI;28603.46413585059;113448.21436924208
Emilia-Romagna - U03;Emilia-Romagna;FDI;26531.997333114778;159364.89714206755
Emilia-Romagna - U04;Emilia-Romagna;FDI;29028.629262555256;157124.4761686921
Emilia-Romagna - U05;Emilia-Romagna;FDI;25919.913130002802;141494.56239131838
Emilia-Romagna - U06;Emilia-Romagna;FDI;29569.80880230363;142816.0556665659
Emilia-Romagna - U07;Emilia-Romagna;FDI;24975.434640086125;134318.2851304561
Emilia-Romagna - U08;Emilia-Romagna;FDI;28584.26728001577;156977.86355882883
Emilia-Romagna - U09;Emilia-Romagna;FDI;30546.067013029024;149973.1619616598
Emilia-Romagna - U10;Emilia-Romagna;FDI;28080.864547167388;155404.75969600677
Emilia-Romagna - U11;Emilia-Romagna;FDI;33618.42889583007;159788.7605141364
Toscana - U01;Toscana;FDI;42600.20930418206;149355.4139021486
Toscana - U02;Toscana;FDI;32227.073080823557;149406.66788220406
Toscana - U03;Toscana;FDI;39091.1782110258;152437.21486014128
Toscana - U04;Toscana;FDI;33545.03259225215;145871.1063478291
Toscana - U05;Toscana;FDI;35694.472933635916;153910.1246420741
Toscana - U06;Toscana;FDI;35107.0502682044;149708.33666154742
Toscana - U07;Toscana;FDI;35833.540845722;129478.44414955378
Toscana - U08;Toscana;FDI;31965.808378145877;150890.525398463
Toscana - U09;Toscana;FDI;39568.05227349989;152665.4813413322
Umbria - U01;Umbria;FDI;46213.78594298678;164847.33504608274
Umbria - U02;Umbria;FDI;44637.221462827765;166781.36907577515
Marche - U01;Marche;FDI;40996.9696760299;139661.4317945838
Marche - U02;Marche;FDI;46543.159998575604;143917.76110163797
Marche - U03;Marche;FDI;36724.02683291512;143457.31587794423
Marche - U04;Marche;FDI;37954.33848057618;136705.5038907528
Lazio 1 - U01;Lazio 1;FDI;44101.71732455516;117779.3136776532
Lazio 1 - U02;Lazio 1;FDI;56482.8057806151;151245.0404467024
Lazio 1 - U03;Lazio 1;FDI;51146.24308228308;145990.37477337196
Lazio 1 - U04;Lazio 1;FDI;47261.94898442762;145063.93301572406
Lazio 1 - U05;Lazio 1;FDI;49476.12730368515;156877.22077150503
Lazio 1 - U06;Lazio 1;FDI;49757.60545483625;157605.0334701985
Lazio 1 - U07;Lazio 1;FDI;52361.21917481349;145916.20750663537
Lazio 1 - U08;Lazio 1;FDI;42441.02517462677;155503.2782868743
Lazio 1 - U09;Lazio 1;FDI;43099.20136015141;146216.8761858344
Lazio 2 - U01;Lazio 2;FDI;44346.6777093601;156843.07686042786
Lazio 2 - U02;Lazio 2;FDI;39918.915175005306;143712.79618211437
Lazio 2 - U03;Lazio 2;FDI;40468.08875696389;160518.01508493721
Lazio 2 - U04;Lazio 2;FDI;24937.391453675937;138931.90569519997
Lazio 2 - U05;Lazio 2;FDI;25593.1873623087;133985.94785016775
Abruzzo - U01;Abruzzo;FDI;35872.61651077171;136305.1880313158
Abruzzo - U02;Abruzzo;FDI;42514.76521906222;151112.41444548965
Abruzzo - U03;Abruzzo;FDI;46226.748962507234;143087.27421835065
Molise - U01;Molise;FDI;15238.64453910094;80368.12514704466
Campania 1 - U01;Campania 1;FDI;20197.71540642685;144315.62187364697
Campania 1 - U02;Campania 1;FDI;18966.26790214119;102840.80699807405
Campania 1 - U03;Campania 1;FDI;15848.864137765917;109623.68663460016
Campania 1 - U04;Campania 1;FDI;18506.38328029617;144440.5915197134
Campania 1 - U05;Campania 1;FDI;17004.312678239377;131289.49548742175
Campania 1 - U06;Campania 1;FDI;26559.678293714598;122962.94953491539
Campania 1 - U07;Campania 1;FDI;23761.53265519341;124879.43610522151
Campania 2 - U01;Campania 2;FDI;39163.37051724218;146919.712641716
Campania 2 - U02;Campania 2;FDI;34620.226195160074;152167.38775396347
Campania 2 - U03;Campania 2;FDI;27199.958615563202;132657.59531963803
Campania 2 - U04;Campania 2;FDI;27265.184336205224;127699.89764669538
Campania 2 - U05;Campania 2;FDI;51194.36412334021;153587.94384020567
Campania 2 - U06;Campania 2;FDI;36273.20151476876;136932.22300910018
Campania 2 - U07;Campania 2;FDI;37910.50064761923;124357.14047966897
