ALTRI;AZN;FDI;FI;LEGA;LEUV;M5S;PD;SVP;CODICE_REGIONE;SU20_COD;COLLEGIOUNINOMINALE
2080.999875962734;583.9999651908875;655.999960899353;2549.999848008156;4836.999711692333;2258.9998653531075;6578.999607861042;3627.9997837543488;36324.99783486128;Trentino-Alto Adige/Südtirol;40005;Trentino-Alto Adige/Südtirol - U05
1894.0;496.0;612.0;2560.0;5070.0;2962.0;6766.0;4088.0;49226.0;Trentino-Alto Adige/Südtirol;40006;Trentino-Alto Adige/Südtirol - U06
14432.479602925652;6063.938704555935;10840.662088852474;30805.653491048455;76432.51892519061;8021.450837440919;72951.90244475832;49550.776726665805;0.0;5;50001;Veneto - U01
17010.90664368868;7606.591653108597;12405.227786362171;32214.775396883488;110075.02437645197;6467.773091673851;70134.90905755758;49713.73937404156;0.0;5;50002;Veneto - U02
19533.880246400833;9474.058157205582;14112.491132974625;36851.279004096985;102732.80752205849;8714.085529088974;78766.8479001522;58340.858451366425;0.0;5;50003;Veneto - U03
17853.38911256194;7018.56484875083;14144.10435512662;31825.256268560886;109842.6465433836;6235.22966966033;71525.43773043156;49124.668046593666;0.0;5;50004;Veneto - U04
21165.802207440138;5390.091378688812;11375.357450067997;27991.011485785246;73762.13937273622;4612.9443463385105;53245.75765231252;35456.9284811914;0.0;5;50005;Veneto - U05
22541.56000009179;9381.870118170977;18478.11205920577;39998.92377254367;88778.46358710527;8916.64333820343;76497.98040631413;62198.03766992688;0.0;6;60001;Friuli-Venezia Giulia - U01
14451.252453520894;7285.488128311932;9837.639177933335;37631.526012800634;60163.21575305611;8228.992284223437;74551.58678366989;47780.211173161864;0.0;7;70001;Liguria - U01
16105.647985816002;9699.834393322468;11339.645230770111;38163.82249867916;57298.267508119345;11221.038334220648;74248.86487951875;57570.523114323616;0.0;7;70002;Liguria - U02
15089.509157627821;6294.85437373817;12039.25997896865;30552.679715432227;65277.69716137275;8431.2057066001;58460.537360627204;48305.02460362762;0.0;8;80001;Emilia-Romagna - U01
15829.636054873466;7779.094091773033;8436.03311534226;25519.496616959572;49487.19760675728;11347.620425000787;71459.3652933985;73330.74484348297;0.0;8;80002;Emilia-Romagna - U02
20650.00461000204;11617.47756126523;10734.198714971542;32549.61228533089;59370.560913696885;20334.911911308765;82853.49093517661;92397.60945723951;0.0;8;80003;Emilia-Romagna - U03
18642.24344357848;7996.86363786459;9504.04639173299;30350.782308205962;60392.61058845371;13056.686739392579;79884.9727544859;84972.76945848763;0.0;8;80004;Emilia-Romagna - U04
18774.7929559052;6664.7364749237895;9106.897621760145;32734.234614288434;57329.55792020634;9519.769742939621;87735.63143491745;73066.66584319435;0.0;8;80005;Emilia-Romagna - U05
18012.845871919766;6859.171218199655;12121.44268779736;29330.348262455314;52767.58491170034;10085.342801314779;69441.52154986747;84303.06618620362;0.0;9;90001;Toscana - U01
17424.470194131136;6156.871054887772;10498.296896889806;27178.5567650944;54535.38997781277;12754.098790496588;71380.96219968796;78486.98143920302;0.0;9;90002;Toscana - U02
17321.984342154115;5894.461455289274;11055.816038617864;36249.30166795105;57517.00925839692;9385.906151583418;72822.65321199223;69453.96811111458;0.0;9;90003;Toscana - U03
16810.70832502842;7567.345917001367;9476.288824699819;22734.285819523036;40955.15385068953;15487.293226525187;64380.00928872824;104050.95299377292;0.0;9;90004;Toscana - U04
13403.46405929327;3849.8225635886192;11106.268219709396;26699.796131402254;46362.84326052666;6620.594365745783;60508.42146643996;58117.537476181984;0.0;10;100001;Umbria - U01
17620.15131124854;4560.859042823315;12992.350882858038;27496.335628926754;48191.14093050361;7344.102744430304;92343.40220367908;57011.64376372099;0.0;11;110001;Marche - U01
