COLLEGIOUNINOMINALE;CIRCOSCRIZIONE;LISTA;VOTI_LISTA;VOTANTI
Piemonte 1 - U05;Piemonte 1;FDI;28137.6222237058;153291.07992081717
Piemonte 2 - U01;Piemonte 2;FDI;27834.811360471784;135859.3112794757
Piemonte 2 - U02;Piemonte 2;FDI;32911.24635437361;142113.06346663833
Piemonte 2 - U03;Piemonte 2;FDI;33614.246696822745;128280.5985716423
Piemonte 2 - U04;Piemonte 2;FDI;32216.579997143046;140802.9118091464
Piemonte 2 - U05;Piemonte 2;FDI;39329.82953414926;154728.72971874475
Valle d'aosta/Vallée d'Aoste - U01;Valle d'Aosta/Vallée d'Aoste;FDI;28426.69090568344;66370.0
Lombardia 1 - U01;Lombardia 1;FDI;29888.890132724617;155342.18295099214
Lombardia 1 - U02;Lombardia 1;FDI;32525.003920243926;166330.60099975206
Lombardia 1 - U03;Lombardia 1;FDI;32442.20491114321;161392.83924120665
Lombardia 1 - U04;Lombardia 1;FDI;34169.97723100133;162454.4642060995
Lombardia 1 - U05;Lombardia 1;FDI;33751.19118688607;162263.28040081263
Lombardia 1 - U06;Lombardia 1;FDI;25629.560355375463;145273.73823688924
Lombardia 1 - U07;Lombardia 1;FDI;24250.01743351277;116214.26745604724
Lombardia 1 - U08;Lombardia 1;FDI;25494.514974927693;118016.15918585658
Lombardia 1 - U09;Lombardia 1;FDI;29202.947496073903;119594.91208931943
Lombardia 2 - U01;Lombardia 2;FDI;30081.140011482523;151474.4790506959
Lombardia 2 - U02;Lombardia 2;FDI;34569.06049396523;174974.32298791409
Lombardia 2 - U03;Lombardia 2;FDI;36126.54345095294;157354.16139608622
Lombardia 2 - U04;Lombardia 2;FDI;26271.30844636278;133922.43349497765
Lombardia 2 - U05;Lombardia 2;FDI;24798.356761594812;129181.15250968933
Lombardia 3 - U01;Lombardia 3;FDI;31854.2208681881;151186.97870968655
Lombardia 3 - U02;Lombardia 3;FDI;36741.63638538324;176926.93462750036
Lombardia 3 - U03;Lombardia 3;FDI;37698.64853392471;156350.3343309611
Lombardia 3 - U04;Lombardia 3;FDI;34714.05348687447;149379.0475662127
Lombardia 3 - U05;Lombardia 3;FDI;35163.81911934865;147577.86525928974
Lombardia 4 - U01;Lombardia 4;FDI;30086.21213984877;142901.90666890144
Lombardia 4 - U02;Lombardia 4;FDI;33273.550373435406;161276.5622330904
Lombardia 4 - U03;Lombardia 4;FDI;30827.640312843585;147015.1864758432
Lombardia 4 - U04;Lombardia 4;FDI;28302.139238441716;141194.9422620237
Trentino-Alto Adige/Südtirol - U01;Trentino-Alto Adige/Südtirol;FDI;18609.93173152599;104570.47535815835
Trentino-Alto Adige/Südtirol - U02;Trentino-Alto Adige/Südtirol;FDI;15660.7626642366;90116.22547957301
Trentino-Alto Adige/Südtirol - U03;Trentino-Alto Adige/Südtirol;FDI;7408.756387089858;74605.34712642431
Trentino-Alto Adige/Südtirol - U04;Trentino-Alto Adige/Südtirol;FDI;3509.896511718001;73360.85453355312
Veneto 1 - U01;Veneto 1;FDI;28462.587369716955;145419.14242082834
Veneto 1 - U02;Veneto 1;FDI;24842.5250607968;144522.44762330689
Veneto 1 - U03;Veneto 1;FDI;27392.270052285727;145043.18329924345
Veneto 1 - U04;Veneto 1;FDI;20274.574213047556;116333.22060774267
Veneto 1 - U05;Veneto 1;FDI;33656.71128032012;114457.11759376526
Veneto 2 - U01;Veneto 2;FDI;32856.30455181803;151384.72868398073
Veneto 2 - U02;Veneto 2;FDI;36663.96594382749;185420.16187389195
Veneto 2 - U03;Veneto 2;FDI;41270.62318453286;182345.41396042705
Veneto 2 - U04;Veneto 2;FDI;41917.73716702488;172862.6856917739
Veneto 2 - U05;Veneto 2;FDI;40712.11678224299;154069.73023663834
Veneto 2 - U06;Veneto 2;FDI;31008.193427896753;125778.40077978373
Veneto 2 - U07;Veneto 2;FDI;29005.824459869844;121109.24212008715
Friuli-Venezia Giulia - U01;Friuli-Venezia Giulia;FDI;39359.61010895414;134944.3755803192
Friuli-Venezia Giulia - U02;Friuli-Venezia Giulia;FDI;34384.72093185453;129862.58529174328
Friuli-Venezia Giulia - U03;Friuli-Venezia Giulia;FDI;25746.326478313207;107987.75032508373
Liguria - U01;Liguria;FDI;31424.27897647116;140206.25134152174
Liguria - U02;Liguria;FDI;25525.569340979095;139913.20601949096
Liguria - U03;Liguria;FDI;33986.68857951147;149881.56551187485
Liguria - U04;Liguria;FDI;30962.195051502156;145910.85632365942
Emilia-Romagna - U01;Emilia-Romagna;FDI;41219.05919010957;140927.6889091581
Emilia-Romagna - U02;Emilia-Romagna;FDI;25043.577959929495;113448.21436924208
Emilia-Romagna - U03;Emilia-Romagna;FDI;22349.519358132824;159364.89714206755
Emilia-Romagna - U04;Emilia-Romagna;FDI;24732.914504324963;157124.4761686921
Emilia-Romagna - U05;Emilia-Romagna;FDI;22064.768548306067;141494.56239131838
Emilia-Romagna - U06;Emilia-Romagna;FDI;25474.35858183776;142816.0556665659
Emilia-Romagna - U07;Emilia-Romagna;FDI;21293.625214197466;134318.2851304561
Emilia-Romagna - U08;Emilia-Romagna;FDI;24317.57673175737;156977.86355882883
Emilia-Romagna - U09;Emilia-Romagna;FDI;26275.68821717885;149973.1619616598
Emilia-Romagna - U10;Emilia-Romagna;FDI;23869.93782747437;155404.75969600677
Emilia-Romagna - U11;Emilia-Romagna;FDI;29004.221936409;159788.7605141364
Toscana - U01;Toscana;FDI;37617.22510372812;149355.4139021486
Toscana - U02;Toscana;FDI;27865.13038534958;149406.66788220406
Toscana - U03;Toscana;FDI;34268.44067549208;152437.21486014128
Toscana - U04;Toscana;FDI;29161.578997303604;145871.1063478291
Toscana - U05;Toscana;FDI;31051.414670298167;153910.1246420741
Toscana - U06;Toscana;FDI;30567.545128917704;149708.33666154742
Toscana - U07;Toscana;FDI;31579.496075065734;129478.44414955378
Toscana - U08;Toscana;FDI;27595.39555754763;150890.525398463
Toscana - U09;Toscana;FDI;34713.01341337751;152665.4813413322
Umbria - U01;Umbria;FDI;40762.20918493009;164847.33504608274
Umbria - U02;Umbria;FDI;39248.70595034133;166781.36907577515
Marche - U01;Marche;FDI;36267.761031905306;139661.4317945838
Marche - U02;Marche;FDI;41412.230400207765;143917.76110163797
Marche - U03;Marche;FDI;32189.248105502924;143457.31587794423
Marche - U04;Marche;FDI;33455.61167625962;136705.5038907528
Lazio 1 - U01;Lazio 1;FDI;61025.92733504285;117779.3136776532
Lazio 1 - U02;Lazio 1;FDI;78467.80204821423;151245.0404467024
Lazio 1 - U03;Lazio 1;FDI;71143.06657575411;145990.37477337196
Lazio 1 - U04;Lazio 1;FDI;65804.238591837;145063.93301572406
Lazio 1 - U05;Lazio 1;FDI;69097.74826287196;156877.22077150503
Lazio 1 - U06;Lazio 1;FDI;69798.92195422361;157605.0334701985
Lazio 1 - U07;Lazio 1;FDI;74025.0812897652;145916.20750663534
Lazio 1 - U08;Lazio 1;FDI;59831.03253173713;155503.2782868743
Lazio 1 - U09;Lazio 1;FDI;61130.049014690005;146216.8761858344
Lazio 2 - U01;Lazio 2;FDI;63131.9677308334;156843.07686042786
Lazio 2 - U02;Lazio 2;FDI;57050.416512915705;143712.79618211437
Lazio 2 - U03;Lazio 2;FDI;58039.86262724078;160518.01508493721
Lazio 2 - U04;Lazio 2;FDI;35798.115840933366;138931.90569519997
Lazio 2 - U05;Lazio 2;FDI;36908.593657447105;133985.94785016775
Abruzzo - U01;Abruzzo;FDI;31505.200692552193;136305.1880313158
Abruzzo - U02;Abruzzo;FDI;37508.32802375609;151112.41444548965
Abruzzo - U03;Abruzzo;FDI;41128.29520483993;143087.27421835065
Molise - U01;Molise;FDI;13017.992701402965;80368.12514704466
Campania 1 - U01;Campania 1;FDI;16639.73865116446;144315.62187364697
Campania 1 - U02;Campania 1;FDI;16156.653013224148;102840.80699807405
Campania 1 - U03;Campania 1;FDI;13115.824235073722;109623.68663460016
Campania 1 - U04;Campania 1;FDI;15047.770319410802;144440.5915197134
Campania 1 - U05;Campania 1;FDI;13849.635765064591;131289.49548742175
Campania 1 - U06;Campania 1;FDI;22967.572923845088;122962.94953491539
