ALTRI;AZIONE-IV;FDI;FI;LEGA;M5S;PD;SI-VERDI;SVP;CIRCOSCRIZIONE;CU20_COD;COLLEGIOUNINOMINALE
8523.733610473573;3962.9297304451466;6756.778640896082;19330.950103588402;48674.98553399742;27275.973223112524;30650.71432814747;4202.982395552099;0.0;Lombardia 3;30304;Lombardia 3 - U04
8255.213351100683;2828.050473153591;6844.321480572224;20160.80919009447;52350.942787885666;28151.5014257133;25854.55440196395;3132.4721488058567;0.0;Lombardia 3;30305;Lombardia 3 - U05
7263.595782697201;3723.0128290057182;5856.01089912653;24986.620776355267;39805.82898312807;31211.055128395557;26520.80019289255;3534.9820773005486;0.0;Lombardia 4;30401;Lombardia 4 - U01
7644.696841299534;3907.802903652191;6476.397651314735;23942.768119096756;45534.36733299494;37254.9088293314;32310.515166163445;4205.105389237404;0.0;Lombardia 4;30402;Lombardia 4 - U02
7391.787674367428;2842.109995007515;6000.323232024908;19989.701732456684;45121.94956752658;31114.694572627544;30952.343792259693;3602.2759095728397;0.0;Lombardia 4;30403;Lombardia 4 - U03
7082.886448413134;2826.9753058850765;5508.757136940956;17698.051183372736;38842.4125996232;33661.828438133;31928.00620099902;3646.024948656559;0.0;Lombardia 4;30404;Lombardia 4 - U04
7098.618035107851;3831.86767578125;3622.256020307541;9244.955425918102;28584.849875867367;22894.559013158083;20620.513416022062;3023.633604645729;5649.222291350365;Trentino-Alto Adige/Südtirol;40001;Trentino-Alto Adige/Südtirol - U01
5949.91252169013;2763.09796500206;3048.226756632328;7672.294618368149;24826.15999877453;22744.714719444513;16802.646975547075;2424.230413019657;3884.94151109457;Trentino-Alto Adige/Südtirol;40002;Trentino-Alto Adige/Südtirol - U02
4572.184030294418;1112.8070735931396;1442.0478706359863;4138.936933577061;7731.595958173275;10910.478735864162;6687.404882907867;3556.1641528606415;34453.72748851776;Trentino-Alto Adige/Südtirol;40003;Trentino-Alto Adige/Südtirol - U03
2975.86926060915;533.9886646866798;683.1698231697083;2726.7489714622498;5232.963647186756;7206.909492433071;4275.952223002911;3159.605626344681;46565.64682465792;Trentino-Alto Adige/Südtirol;40004;Trentino-Alto Adige/Südtirol - U04
7749.86345821619;3999.15908408165;5539.986924231052;16992.178720891476;42744.477961719036;36910.242931991816;26891.034126847982;4592.19921284914;0.0;Veneto 1;50101;Veneto 1 - U01
7819.979213053361;3036.5669536590576;4835.374318363145;15584.735615024343;43661.97521655448;40828.326766644605;24556.741067438386;4198.74847256951;0.0;Veneto 1;50102;Veneto 1 - U02
7928.256945312023;4411.577582001686;5331.659274101257;14843.45591801405;50759.361181139946;32529.42949962616;25829.03010714054;3410.4127919077873;0.0;Veneto 1;50103;Veneto 1 - U03
6487.910965368152;2741.972202152014;3946.2637242227793;12371.427216768265;47048.94627135992;24963.8744777143;16673.115688085556;2099.710062071681;0.0;Veneto 1;50104;Veneto 1 - U04
6986.904712736607;3332.121525287628;6550.9764795303345;12745.19493818283;35866.05572074652;24890.04289764166;20836.80799973011;3249.0133199095726;0.0;Veneto 1;50105;Veneto 1 - U05
